Agency, Parent Agency
Council for Private Education, MOE
Energy Market Authority of Singapore, MTI
Civil Service College, PMO
Competition Commission of Singapore, MTI
Singapore Examinations and Assessment Board, MOE
Ministry of the Environment and Water Resources, MEWR
Singapore Tourism Board, STB
Ministry of Manpower - Foreign Manpower Management Division, MOM
Ministry of Social and Family Development - Ministry Headquarter, MSF
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE, MOE
ISEAS - Yusof Ishak Institutem MOE
Ministry of National Development-Ministry Headquarter, MND
International Enterprise Singapore, MTI
Ministry of Manpower - Occupational Safety & Health Division, MOM
"Ministry of Culture, Community and Youth - Ministry Headquarter", MCCY
Science Centre Board, MOE
Tote Board, MOF
Accounting And Corporate Regulatory Authority, MOF
Prime Minister's Office-Ministry Headquarter, PMO
Ministry of Law-Ministry Headquarter, MINLAW
Nanyang Technological University, MOE
Ministry of Foreign Affairs, MFA
National Parks Board, MND
Singapore Land Authority, MINLAW
National Arts Council, MCCY
Temasek Polytechnic, MOE
Assumption Pathway School, MOE
Casino Regulatory Authority, MHA
Health Sciences Authority, MOH
Ministry of Manpower-Labour Relations Department, MOM
Civil Aviation Authority of Singapore, MOT
Ministry of Defence, MINDEF
Ministry of Health-Ministry Headquarter, MOH
Auditor-General's Office, OTHER
Council for Estate Agencies, MND
Prime Minister's Office-Corrupt Practices Investigation Bureau, PMO
"Ministry of Culture, Community and Youth - National Youth Council", MCCY
Ministry of Finance - Vital, MOF
Judiciary-Supreme Court, OTHER
Raffles Girls' School (Secondary), MOE
"School of Science and Technology, Singapore", MOE
Central Provident Fund Board, MOF
Duke-NUS Medical School, MOE
Singapore Workforce Development Agency, MOM
National University of Singapore, MOE
Methodist Girls' School (Secondary), MOE
National Heritage Board, MCCY
Ministry of Social and Family Development - Family Development Group, MSF
Prime Minister's Office - National Security Co-ordination Secretariat, PMO
Ministry of Social and Family Development - Rehabilitation and Protection, MSF
Nanyang Polytechnic, MOE
Ministry of Trade & Industry-Ministry Headquarter, MTI
Maritime and Port Authority of Singapore, MOT
Majlis Ugama Islam Singapura, MCCY
Republic Polytechnic, MOE
Ministry of Transport - Ministry Headquarter, MOT
Ministry of Finance - Singapore Customs, MOF
Singapore Chinese Girls' School, MOE
Singapore Polytechnic, MOE
Ngee Ann Polytechnic, MOE
Inland Revenue Authority of Singapore, MOF
Ministry of Education, MOE
Prime Minister's Office - National Research Foundation, PMO
Defence Science and Technology Agency, MINDEF
Urban Redevelopment Authority, MND
Singapore Corporation of Rehabilitative Enterprises, MHA
Singapore Labour Foundation, MOM
Housing and Development Board, MND
People's Association, MCCY
Health Promotion Board, MOH
Ministry of Defence 5, MINDEF
National Library Board, MCCY
Institute of Technical Education, MOE
Singapore Sports Council, MCCY
Centre for Public Project Management, MOF
Monetary Authority of Singapore, PMO
Ministry of Finance-Ministry Headquarter, MOF
Economic Development Board, MTI
National Environment Agency, MEWR
Sentosa Development Corporation, MTI
Attorney-General's Chambers, OTHER
SPRING Singapore, MTI
Parliament, OTHER
Jurong Town Corporation, MTI
Prime Minister's Office-Public Service Division, PMO
Building and Construction Authority, MND
Productivity Fund Administration Board, OTHER
Media Development Authority, MCI
Ministry of Manpower-Ministry Headquarter, MOM
Prime Minister's Office - National Population and Talent Division, PMO
Ministry of Social and Family Development - Early Childhood Development Agency, MSF
Istana, OTHER
Northlight School, MOE
Ministry of Trade & Industry-Department of Statistics, MTI
Land Transport Authority, MOT
Infocommunications Development Authority of Singapore, MCI
Public Utilities Board, MEWR
Prime Minister's Office - National Climate Change Secretariat, PMO
National Institute of Education, MOE
National Council of Social Service, MSF
Ministry of Communications and Information, MCI
"Agency for Science, Technology and Research", MTI
Judiciary-State Courts, OTHER
Agri-food and Veterinary Authority, MND
Ministry of Finance-Accountant-General's Department, MOF
Prime Minister's Office-Elections Department, PMO
Ministry of Manpower-Information Systems & Technology Department, MOM
Intellectual Property Office of Singapore, MINLAW
Ministry of Home Affairs-Ministry Headquarter, MHA
