tender_no.,agency,tender_description,award_date,tender_detail_status,supplier_name,total_awarded_amt
ACR000ETT14000007,Accounting And Corporate Regulatory Authority,Provision Of Event Management And Related Services For The Public Accountants Conference 2015. (There is a compulsory briefing on 13 Nov 14 at 10am at ACRA Boardroom. Only representatives who attended this compulsory briefing are eligible to participate in this tender).,2015-02-06,Awarded to No Suppliers,na,0
ACR000ETT14000008,Accounting And Corporate Regulatory Authority,Invitation To Tender For The Provision Of Alternate Business Continuity Plan (BCP) Site For ACRA,2015-04-30,Awarded to No Suppliers,na,0
ACR000ETT14000009,Accounting And Corporate Regulatory Authority,Invitation To Tender For The Provision Of Manpower Services (Facilities Officer) For ACRA,2015-01-28,Awarded to Suppliers,RMA CONTRACTS PTE. LTD.,76071.21
ACR000ETT15000004,Accounting And Corporate Regulatory Authority,Invitation To Tender For The Provision Of Manpower For Software Testing Services For ACRA,2015-07-01,Awarded to Suppliers,TESCOM (SINGAPORE) SOFTWARE SYSTEMS TESTING PTE LTD.,84000
ACR000ETT15000005,Accounting And Corporate Regulatory Authority,"Proposed Interior Fitting Out Works for ACRA's Office Space at 10 Anson Road, #05-19 & #05-01/15 (Part) International Plaza, Singapore 079903",2015-04-24,Awarded to Suppliers,MKS GLOBAL PTE. LTD.,653255
ACR000ETT15000006,Accounting And Corporate Regulatory Authority,Provision Of Smart Card Access Control System With Intrusion Detection System And Central Alarm Monitoring With Response Team For ACRA,2015-06-26,Awarded to Suppliers,CERTIS CISCO SECURITY TECHNOLOGY PTE. LTD.,87690
ACR000ETT15000009,Accounting And Corporate Regulatory Authority,Invitation to tender for the provision of services for Registered Filing Agents (RFAs) Compliance Review Programme,2015-08-14,Awarded to Suppliers,RHT COMPLIANCE SOLUTIONS PTE. LTD.,392000
ACR000ETT15000010,Accounting And Corporate Regulatory Authority,Invitation To Tender For The Provision Of Cleaning Services For Accounting And Corporate Regulatory Authority For A Period Of 2 Years With An Option To Renew For 1 Year.,2015-07-30,Awarded to Suppliers,CLEANMAGE PTE. LTD.,122400
ACR000ETT15000011,Accounting And Corporate Regulatory Authority,Invitation to Tender for the provision of consultancy services to review ACRA's business processes and service delivery.,2015-11-23,Awarded to Suppliers,SOLUTIONSATWORK PTE. LTD.,320000
AGC000ETT14000010,Attorney-General's Chambers,"Invitation To Tender for The Design, Develop, Install, Implement, Commission and Maintenance of the Enterprise Single Sign-On System",2015-05-04,Awarded to Suppliers,Ufinity Pte Ltd,300174
AGC000ETT14000011,Attorney-General's Chambers,"Invitation To Tender for The Supply, Delivery, Support of  E-Discovery Software with an option for maintenance of software",2015-01-28,Awarded to Suppliers,NCS PTE. LTD.,243000
AGC000ETT14000012,Attorney-General's Chambers,Invitation To Tender for The Provision of Integrated Facilities Management for The Attorney-General's Chambers at 1 Upper Pickering Street For Three (3) Years With An Option To Extend For Two (2) Years,2015-03-09,Awarded to Suppliers,PROPELL INTEGRATED PTE LTD,1747000
AGC000ETT15000002,Attorney-General's Chambers,"Invitation To Tender for the Supply, Delivery, Support of Microsoft Licenses from Microsoft Government Licensing Programme (MGLP) for Attorney-General's Chambers (AGC) - MGLP SELECT PLUS Agreement Number 6255037",2015-04-29,Awarded to Suppliers,UIC Asian Computer Services Pte Ltd,181836.2
AGC000ETT15000003,Attorney-General's Chambers,Invitation To Tender for Minor Renovation Works at Level 14 for The Attorney-General's Chambers,2015-06-02,Awarded to Suppliers,NEEW PTE. LTD.,51918.5
AGC000ETT15000004,Attorney-General's Chambers,Invitation To Tender for Application Maintenance and Support for Enterprise Legal Management System (ELMS) for Attorney-General's Chambers,2015-07-16,Awarded to No Suppliers,na,0
AGC000ETT15000005,Attorney-General's Chambers,"Invitation To Tender For The Supply, Design, Configuration, Customisation, Testing, Installation And Commissioning Of A Fully Operational Enterprise Search Engine With An Option For Maintenance For The Attorney-General's Chambers",2015-09-14,Awarded to Suppliers,TAIGER SPAIN S.L.,1050267.62
AGC000ETT15000006,Attorney-General's Chambers,"INVITATION TO TENDER FOR RENOVATION WORKS TO THE LITIGATION SUPPORT ROOMS AT LEVEL 9,10 AND 12 OF ATTORNEY-GENERAL'S CHAMBERS",2015-08-05,Awarded to Suppliers,NEEW PTE. LTD.,55400
AGC000ETT15000007,Attorney-General's Chambers,"The Government of the Republic of Singapore, acting through the Attorney-Generals Chambers, invites Tenderers to submit Tender Offers for the contract to provide services for the management and operation of the AGCs Chan Sek Keong Library. The contract shall be for a term of one year, from 1 April 2016 to 31 March 2017, with an option for the Government to extend the contract for another year at the end of each consecutive year until 31 March 2019.",2015-11-04,Awarded to Suppliers,CIVICA PTE. LTD.,919080
AGC000ETT15000008,Attorney-General's Chambers,Invitation To Tender For The Provision Of A Leadership Training and Development Programme For The Crime Cluster Divisions Of The Attorney-General's Chambers.,2015-11-26,Awarded to Suppliers,PRICEWATERHOUSECOOPERS CONSULTING (SINGAPORE) PTE. LTD.,520000
AGC000ETT15000009,Attorney-General's Chambers,INVITATION TO TENDER (ITT) FOR THE PROVISION OF PRINTING AND/OR SCANNING SERVICES FOR THE ATTORNEY-GENERALS CHAMBERS,2015-11-03,Awarded to Suppliers,Fuji Xerox Singapore Pte Ltd,996648
AGC000ETT15000014,Attorney-General's Chambers,"ITT for the supply, design, configuration, customisation, testing, installation and commissioning of a fully operational AGC Sentencing Repository with an option for maintenance",2015-11-27,Awarded to Suppliers,ZWAAN PTE. LTD.,331250
AGC000ETT15000018,Attorney-General's Chambers,INVITATION TO TENDER FOR THE PROVISION OF TWO RUNS OF A 2-DAY WRITTEN ADVOCACY COURSE TO PARTICIPANTS FROM THE ATTORNEY-GENERALS CHAMBERS,2015-12-22,Awarded to No Suppliers,na,0
AGO000ETT15000001,Auditor-General's Office,"Minor Addition And Alteration, with Design Adaption Works to Auditor-General's Office",2015-02-17,Awarded to Suppliers,E.ID PROJECTS PTE. LTD.,72780
AVA000ETT14000028,Agri-food and Veterinary Authority,"Tender for the supply of labour, materials, machinery, equipment and other logistics arrangements to carry out repair and redecoration (R&R)works at the Chicken Isolators Room",2015-01-07,Awarded to Suppliers,AIR & AIR SERVICES PTE LTD,418000
AVA000ETT14000030,Agri-food and Veterinary Authority,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,2015-01-21,Awarded to Suppliers,BIO-REV PTE. LTD.,211750.95
AVA000ETT14000030,Agri-food and Veterinary Authority,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,2015-01-21,Awarded to Suppliers,FISHER SCIENTIFIC PTE LTD,211750.95
AVA000ETT14000030,Agri-food and Veterinary Authority,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,2015-01-21,Awarded to Suppliers,ITS Science & Medical Pte Ltd,211750.95
AVA000ETT14000030,Agri-food and Veterinary Authority,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,2015-01-21,Awarded to Suppliers,Mettler-Toledo (S) Pte Ltd,211750.95
AVA000ETT14000030,Agri-food and Veterinary Authority,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,2015-01-21,Awarded to Suppliers,Palico Biotech Pte Ltd,211750.95
AVA000ETT14000030,Agri-food and Veterinary Authority,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,2015-01-21,Awarded to Suppliers,SARTORIUS SINGAPORE PTE. LTD.,211750.95
AVA000ETT14000030,Agri-food and Veterinary Authority,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,2015-01-21,Awarded to Suppliers,SPD SCIENTIFIC PTE LTD,211750.95
AVA000ETT14000030,Agri-food and Veterinary Authority,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,2015-01-21,Awarded to Suppliers,TRADE 21 PTE. LTD.,211750.95
AVA000ETT14000031,Agri-food and Veterinary Authority,Tender for the preventive maintenance and corrective maintenance of generators at Marine Aquaculture Centre,2015-01-21,Awarded to Suppliers,CA FACILITIES PTE. LTD.,55450
AVA000ETT14000032,Agri-food and Veterinary Authority,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,2015-03-06,Awarded to Suppliers,BLUE OCEAN HARVEST PTE. LTD.,1457610
AVA000ETT14000032,Agri-food and Veterinary Authority,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,2015-03-06,Awarded to Suppliers,GLOBEX GREEN LLP,1457610
AVA000ETT14000032,Agri-food and Veterinary Authority,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,2015-03-06,Awarded to Suppliers,METROPOLITAN FISHERY GROUP PTE. LTD.,1457610
AVA000ETT14000032,Agri-food and Veterinary Authority,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,2015-03-06,Awarded to Suppliers,PHAEDRUS AQUATECH PTE. LTD.,1457610
AVA000ETT14000032,Agri-food and Veterinary Authority,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,2015-03-06,Awarded to Suppliers,SINGAPORE AQUACULTURE TECHNOLOGIES (SAT) PTE. LTD.,1457610
AVA000ETT14000033,Agri-food and Veterinary Authority,Tender for a Two-year period contract for the supply and delivery of acids for lab use,2015-02-11,Awarded to Suppliers,AIK MOH PAINTS & CHEMICALS PTE LTD,118841.2
AVA000ETT14000033,Agri-food and Veterinary Authority,Tender for a Two-year period contract for the supply and delivery of acids for lab use,2015-02-11,Awarded to Suppliers,MERCK PTE. LTD.,118841.2
AVA000ETT14000033,Agri-food and Veterinary Authority,Tender for a Two-year period contract for the supply and delivery of acids for lab use,2015-02-11,Awarded to Suppliers,TEE HAI CHEM PTE LTD,118841.2
AVA000ETT14000034,Agri-food and Veterinary Authority,Tender for the laboratory renovation and facility/furniture supply for the radionuclides testing facility at the Veterinary Public Health Centre (VPHC) 10 Perahu Road Singapore 718837,2015-01-29,Awarded to Suppliers,AIR & AIR SERVICES PTE LTD,588888
AVA000ETT14000036,Agri-food and Veterinary Authority,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,2015-09-22,Awarded to Suppliers,ALPHA ANALYTICAL (S) PTE LTD,87532.3
AVA000ETT14000036,Agri-food and Veterinary Authority,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,2015-09-22,Awarded to Suppliers,Achema Pte Ltd,87532.3
AVA000ETT14000036,Agri-food and Veterinary Authority,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,2015-09-22,Awarded to Suppliers,IT TECHNOLOGIES PTE LTD,87532.3
AVA000ETT14000036,Agri-food and Veterinary Authority,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,2015-09-22,Awarded to Suppliers,OMEGA SCIENTIFIC PTE LTD,87532.3
AVA000ETT14000036,Agri-food and Veterinary Authority,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,2015-09-22,Awarded to Suppliers,Research Instruments Pte Ltd,87532.3
AVA000ETT14000036,Agri-food and Veterinary Authority,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,2015-09-22,Awarded to Suppliers,WATERS PACIFIC PTE. LTD.,87532.3
